s#,sval
0,START
10,Good
11,Great
12,Bad
13,OK
14,Terrible
15,Very
16,Somewhat
17,Not much
18,Not at all
19,Always
20,Mostly
21,Sometimes
22,Rarely
23,Never
24,Completely
25,Partially
26,Not at all
27,Strongly app
28,Somewhat app
29,Somewhat dis
30,Strongly dis
31,Yes
32,Maybe
33,No
34,Yes
35,Maybe
36,No
37,Yes
38,Maybe
39,No
40,1
41,2
42,3
43,4
44,5
45,6
46,7
47,8
48,9
49,10
50,1
51,2
52,3
53,4
54,5
55,6
56,7
57,8
58,9
59,10
60,1
61,2
62,3
63,4
64,5
65,6
66,7
67,8
68,9
69,10
70,1
71,2
72,3
73,4
74,5
75,6
76,7
77,8
78,9
79,10
80,1
81,2
82,3
83,4
84,5
85,6
86,7
87,8
88,9
89,10
90,1
91,2
92,3
93,4
94,5
95,6
96,7
97,8
98,9
99,10
100,1
101,2
102,3
103,4
104,5
105,6
106,7
107,8
108,9
109,10
110,END